image_path, class, confidence, xmin, ymin, xmax, ymax
toaster/4.webp, toaster, 0.333, 235, 109, 549, 472
toaster/2.webp, cell phone, 0.809, 140, 292, 454, 475
toaster/3.jpg, spoon, 0.283, 515, 316, 597, 369
toaster/1.jpg, potted plant, 0.271, 52, 223, 144, 362
toaster/5.jpg, no_detections
oven/our-place-product-thumbnail-lifestyle-large-wonder-oven-char-tray.webp, oven, 0.809, 8, 62, 625, 422
oven/3.jpg, potted plant, 0.253, 323, 30, 372, 75
oven/5.jpeg, oven, 0.707, 118, 3, 635, 474
truck/51003834.jpg, truck, 0.886, 3, 42, 638, 428
truck/Freightliner_M2_106_6x4_2014_(14240376744).jpg, truck, 0.343, 52, 9, 615, 466
truck/why-is-it-called-a-semi-truck.jpg, truck, 0.889, 13, 83, 630, 427
truck/47X_NEW.jpg, truck, 0.902, 30, 50, 605, 442
truck/truck1.jpg, truck, 0.462, 168, 74, 526, 449
truck/home-page-2025-t880s-hood.jpg, truck, 0.882, 87, 106, 589, 404
cow/4.webp, cow, 0.818, 181, 282, 238, 321
cow/3.webp, cow, 0.700, 594, 130, 610, 144
cow/istockphoto-1282514444-612x612.jpg, cow, 0.922, 54, 45, 590, 430
cow/6.jpeg, cow, 0.512, 64, 2, 493, 472
cow/5.jpg, cow, 0.884, 199, 17, 483, 471
cow/cow-eating-grass-stockcake.jpg, cow, 0.334, 80, 81, 593, 400
Airplane/airplane-on-runway-scaled-1.webp, airplane, 0.759, 1, 44, 637, 297
Airplane/aircraft-jet-landing-cloud-46148.jpeg, airplane, 0.872, 0, 70, 593, 267
Airplane/commercial-airline-passenger-plane-landing-at-airport-with-beautiful-sunset-sky-and-clouds-arrival-flight-airplane-flying-over-runway-fence-and-taxiw.jpg, airplane, 0.494, 181, 186, 581, 330
Airplane/GettyImages-1140602972-e1748616001999.jpg, airplane, 0.927, 195, 195, 523, 309
Airplane/airplane-flying-sky-travel-background-600nw-2478264897.webp, airplane, 0.923, 105, 160, 533, 339
train/00NA-Trains-OpenCars-googleFourByThree.jpg, train, 0.315, 4, 0, 608, 472
train/Cog Drone-21.jpg, train, 0.831, 311, 202, 515, 307
train/travel-inspiration-magazine-exploring-the-worlds-best-steam-train-journeys.jpg, train, 0.930, 158, 62, 638, 451
train/istockphoto-178489146-612x612.jpg, traffic light, 0.852, 584, 118, 613, 166
train/16e91d60-9d0d-46ae-8759-9731c12de4a5.jpg, train, 0.942, 16, 193, 563, 454
