image_path, class, confidence, xmin, ymin, xmax, ymax
toaster/4.webp, cup, 0.380, 0, 1, 90, 130
toaster/2.webp, cell phone, 0.827, 140, 292, 454, 476
toaster/3.jpg, cup, 0.300, 470, 222, 569, 330
toaster/1.jpg, potted plant, 0.301, 52, 223, 144, 362
toaster/5.jpg, no_detections
oven/our-place-product-thumbnail-lifestyle-large-wonder-oven-char-tray.webp, oven, 0.820, 8, 62, 621, 425
oven/3.jpg, potted plant, 0.263, 323, 30, 371, 75
oven/5.jpeg, oven, 0.738, 118, 4, 636, 474
truck/51003834.jpg, truck, 0.892, 5, 42, 639, 428
truck/Freightliner_M2_106_6x4_2014_(14240376744).jpg, truck, 0.262, 0, 122, 88, 330
truck/why-is-it-called-a-semi-truck.jpg, truck, 0.886, 14, 83, 632, 427
truck/47X_NEW.jpg, truck, 0.905, 32, 51, 607, 442
truck/truck1.jpg, bus, 0.527, 169, 74, 525, 451
truck/home-page-2025-t880s-hood.jpg, truck, 0.883, 87, 106, 590, 404
cow/4.webp, cow, 0.819, 181, 283, 238, 321
cow/3.webp, cow, 0.719, 595, 130, 610, 144
cow/istockphoto-1282514444-612x612.jpg, cow, 0.925, 54, 44, 593, 430
cow/6.jpeg, cow, 0.647, 65, 2, 492, 470
cow/5.jpg, cow, 0.890, 200, 18, 482, 471
cow/cow-eating-grass-stockcake.jpg, cow, 0.354, 0, 162, 103, 251
Airplane/airplane-on-runway-scaled-1.webp, airplane, 0.747, 1, 43, 638, 296
Airplane/aircraft-jet-landing-cloud-46148.jpeg, airplane, 0.870, 1, 70, 593, 268
Airplane/commercial-airline-passenger-plane-landing-at-airport-with-beautiful-sunset-sky-and-clouds-arrival-flight-airplane-flying-over-runway-fence-and-taxiw.jpg, airplane, 0.496, 182, 187, 581, 330
Airplane/GettyImages-1140602972-e1748616001999.jpg, airplane, 0.926, 195, 195, 523, 309
Airplane/airplane-flying-sky-travel-background-600nw-2478264897.webp, airplane, 0.917, 105, 160, 533, 338
train/00NA-Trains-OpenCars-googleFourByThree.jpg, train, 0.320, 2, 0, 609, 472
train/Cog Drone-21.jpg, train, 0.812, 311, 202, 515, 308
train/travel-inspiration-magazine-exploring-the-worlds-best-steam-train-journeys.jpg, train, 0.934, 157, 63, 639, 451
train/istockphoto-178489146-612x612.jpg, traffic light, 0.842, 584, 118, 613, 166
train/16e91d60-9d0d-46ae-8759-9731c12de4a5.jpg, train, 0.948, 16, 193, 563, 454
